DRCOV VERSION: 3
DRCOV FLAVOR: drcov
Module Table: version 5, count 56
Columns: id, containing_id, start, end, entry, offset, preferred_base, checksum, timestamp, path
  0,   0, 0x0000000071000000, 0x00000000711c0000, 0x00000000710a2e70, 0000000000000000, 0x0000000071000000, 0x0019203b, 0x620aa6ec,  C:\ProjectA\DynamoRIO-Windows-9.0.1\lib64\release\dynamorio.dll
module[  9]: 0x00000000000743f0,  28
module[  9]: 0x00000000000569b0,  30
module[  9]: 0x000000000007440c,  20
module[  9]: 0x0000000000074420,  26
module[  9]: 0x0000000000074390,  42
module[  9]: 0x0000000000056ab0,  21
module[  9]: 0x00000000000564d0,  39
module[ 51]: 0x000000000002faa0,  25
module[ 51]: 0x000000000002fab9,  18
module[  9]: 0x00000000000564f7,   5
module[  9]: 0x0000000000056ac5,   5
module[  9]: 0x00000000000743ba,  11
module[  9]: 0x0000000000074520,  29
module[  9]: 0x0000000000074547,  22
module[  9]: 0x000000000007455d,  28
module[  9]: 0x0000000000074579,  28
module[  9]: 0x0000000000074595,  21
module[  9]: 0x00000000000745aa,  36
module[  9]: 0x00000000000745d9,  49
module[  9]: 0x000000000007460a,  30
module[  9]: 0x0000000000074628,  47
module[  9]: 0x0000000000054c40,  32
module[  9]: 0x0000000000054c60,  21
module[  9]: 0x0000000000054c87,   8
module[  9]: 0x0000000000054ca4,  74
module[  9]: 0x0000000000054bc0,  40
module[  9]: 0x0000000000054be8,  49
module[  9]: 0x00000000000521d0,  38
module[  9]: 0x00000000000521f6,  39
module[  9]: 0x00000000000549e0,  47
module[  9]: 0x0000000000051900,  28
module[  9]: 0x0000000000055880,  16
module[  9]: 0x0000000000055890,   8
module[  9]: 0x0000000000055800,  19
module[  9]: 0x0000000000055820,  27
module[  9]: 0x0000000000055813,   5
module[  9]: 0x0000000000055898,   5
module[  9]: 0x000000000005191c,   4
module[  9]: 0x0000000000051927,  38
module[  9]: 0x00000000000519b0,  42
module[ 51]: 0x000000000002facc,   6
module[ 51]: 0x000000000002fad2,  10
module[  9]: 0x00000000000519da,   6
module[  9]: 0x00000000000529f0,  13
module[  9]: 0x00000000000529fd,   5
module[  9]: 0x0000000000052a8a,   5
module[  9]: 0x00000000000519e0,  19
module[  9]: 0x0000000000051a00,  14
module[  9]: 0x0000000000051a0e,  78
module[  9]: 0x0000000000054e30,  25
module[  9]: 0x0000000000051a5c,   4
module[  9]: 0x0000000000051adc,  17
module[  9]: 0x0000000000051b01,  25
module[  9]: 0x0000000000051b3c,  12
module[  9]: 0x0000000000051f40,  22
module[  9]: 0x0000000000051f56,  14
module[  9]: 0x0000000000051f7b,  16
module[  9]: 0x0000000000051b48,   7
module[  9]: 0x0000000000051b81,  37
module[ 51]: 0x000000000002a9a0,  32
module[ 51]: 0x000000000002a9c0,  18
module[ 51]: 0x000000000002a9d2,   9
module[ 51]: 0x000000000002a9db,  23
module[ 51]: 0x000000000002aa20,  63
module[ 51]: 0x000000000002b26b,  32
module[ 51]: 0x000000000002b297,   8
module[ 51]: 0x000000000002b29f,   9
module[ 51]: 0x000000000002b2a8,  15
module[ 51]: 0x000000000002b2b7,  12
module[ 51]: 0x000000000002b2f9,  18
module[ 51]: 0x000000000002b358,  38
module[ 51]: 0x000000000002b37e,   9
module[ 51]: 0x000000000002b387,  28
module[ 51]: 0x000000000002b3d3,  15
module[ 51]: 0x000000000002b3f5,  11
module[ 51]: 0x000000000002b400,   5
module[ 51]: 0x000000000002b405,  28
module[ 51]: 0x000000000002b42b,  34
module[ 51]: 0x000000000002d160,  92
module[ 51]: 0x000000000002d1bc,  10
module[ 51]: 0x000000000002d1c6,  26
module[ 51]: 0x000000000002d1f0,  19
module[ 51]: 0x000000000002d2cc,  11
module[ 51]: 0x000000000002d2f8,   6
module[ 51]: 0x000000000002d2fe,  28
module[ 51]: 0x000000000002d31a,  15
module[ 51]: 0x000000000002d364,  14
module[ 51]: 0x000000000002d37a,  15
module[ 51]: 0x000000000002d389,   8
module[ 51]: 0x000000000002d391,  12
module[ 51]: 0x000000000002d3fb,  13
module[ 51]: 0x000000000002d408,  42
module[ 51]: 0x000000000002d432,  36
module[ 51]: 0x000000000002d456,   9
module[ 51]: 0x000000000002d45f,  10
module[ 51]: 0x000000000002d4cf,  17
module[ 51]: 0x000000000002d4e0,  12
module[ 51]: 0x000000000002d635,  36
module[ 51]: 0x000000000002d659,  13
module[ 51]: 0x000000000002d680,  26
module[ 51]: 0x000000000002d6a2,  20
module[ 51]: 0x000000000002d6b6,  39
module[ 51]: 0x000000000002d6f8,  13
module[ 51]: 0x000000000002d70d,  25
module[ 51]: 0x000000000002d726,  39
module[ 51]: 0x000000000002d766,  13
